label	url
Allianz Global Investors Fund - Allianz Europe Equity Growth	/fonds/wkn/A0KDMU
Allianz Global Investors Fund - Allianz Europe Small Cap Equ	/fonds/wkn/A0MPE7
Allianz Global Investors Fund - Allianz European Conviction 	/fonds/wkn/A0M8SA
Allianz Global Investors Fund - Allianz European Equity Divi	/fonds/wkn/A0RF5F
Allianz Global Investors Fund - Allianz Flexible Bond Strate	/fonds/wkn/A1JB1X
Allianz Global Investors Fund - Allianz Global Agricultural 	/fonds/wkn/A0NFZD
Allianz Global Investors Fund - Allianz Global Agricultural 	/fonds/wkn/A0NCGS
Allianz Global Investors Fund - Allianz Global EcoTrends	/fonds/wkn/A0JJ35
Allianz Global Investors Fund - Allianz Global Equity	/fonds/wkn/804573
Allianz Global Investors Fund - Allianz Global Equity	/fonds/wkn/921896
Allianz Global Investors Fund - Allianz Global Metals and Mi	/fonds/wkn/A1H67A
Allianz Global Investors Fund - Allianz Global Metals and Mi	/fonds/wkn/A1JFWE
Allianz Global Investors Fund - Allianz Global Metals and Mi	/fonds/wkn/A1H67B
Allianz Global Investors Fund - Allianz Global Metals and Mi	/fonds/wkn/A1JFWD
Allianz Global Investors Fund - Allianz Global Sustainabilit	/fonds/wkn/157662
Allianz Global Investors Fund - Allianz Global Sustainabilit	/fonds/wkn/164168
Allianz Global Investors Fund - Allianz Greater China Dynami	/fonds/wkn/A0RK19
Allianz Global Investors Fund - Allianz Renminbi Currency	/fonds/wkn/A1JED1
Allianz Global Investors Fund - Allianz Renminbi Fixed Incom	/fonds/wkn/A1JGR4
Allianz Global Investors Fund - Allianz Treasury Short Term 	/fonds/wkn/592694
Allianz Global Investors Fund - Allianz US Equity Fund	/fonds/wkn/A1CVZ1
Allianz Global Investors Fund III - Allianz Emerging Europe	/fonds/wkn/987339
Allianz Global Investors Fund V - Allianz Eastern Europe Equ	/fonds/wkn/974575
Allianz Global Investors Fund V - Allianz Eastern Europe Equ	/fonds/wkn/974574
Allianz Global Investors Fund V - Allianz Global Emerging Ma	/fonds/wkn/987298
Allianz Global Investors Fund V - Allianz Global Intellectua	/fonds/wkn/926091
Allianz Global Investors Fund V - Allianz Japan Smaller Comp	/fonds/wkn/933998
Allianz Global Investors Fund V - Allianz US Equity	/fonds/wkn/A0LBUF
Allianz Global Investors Fund V - Allianz US Equity	/fonds/wkn/974430
Allianz Global Investors Fund V - Allianz US Equity	/fonds/wkn/A0HMVT
Allianz Global Investors Fund V - Allianz US Equity	/fonds/wkn/982304
Allianz Global Investors Fund VI - Allianz China Fund	/fonds/wkn/989859
Allianz Global Investors Fund VI - Allianz Korea Fund	/fonds/wkn/989862
Allianz Global Investors Fund VII - Allianz Emerging Markets	/fonds/wkn/986790
Allianz Global Investors Fund- Allianz China Equity	/fonds/wkn/A0Q1P1
Allianz Global Investors Fund- Allianz China Equity	/fonds/wkn/A0Q1QA
Allianz Global Investors Fund- Allianz Thailand Equity 	/fonds/wkn/A0Q1LJ
Allianz Global Investors Fund- Allianz Thailand Equity 	/fonds/wkn/A0Q1LH
Allianz Informationstechnologie	/fonds/wkn/847512
Allianz Interglobal	/fonds/wkn/847507
Allianz Internationaler Rentenfonds	/fonds/wkn/847505
Allianz Mobil-Fonds	/fonds/wkn/847191
Allianz Nebenwerte Deutschland	/fonds/wkn/848176
Allianz Pfandbrieffonds	/fonds/wkn/972066
Allianz Rentenfonds	/fonds/wkn/847140
Allianz Rentenfonds	/fonds/wkn/979741
Allianz Rohstofffonds	/fonds/wkn/847509
ALTIS FUND BALANCED VALUE	/fonds/wkn/534072
ALTIS FUND GLOBAL RESOURCES	/fonds/wkn/A0B9MS
ALTrust Aktien Deutschland	/fonds/wkn/847160
American Income Portfolio	/fonds/wkn/A0JMH8
apo Forte INKA	/fonds/wkn/532431
apo Medical Balance	/fonds/wkn/A117YJ
APO MEDICAL OPPORTUNITIES	/fonds/wkn/A0EQ6Y
apo Mezzo INKA	/fonds/wkn/532430
APO PIANO INKA	/fonds/wkn/532429
apo Rendite Plus INKA	/fonds/wkn/793988
apo Vario Zins Plus	/fonds/wkn/532422
apo Vivace INKA	/fonds/wkn/A0M2BQ
APO VV PREMIUM PRIVAT	/fonds/wkn/A0RBNF
ARAMEA BALANCED CONVERTIBLE	/fonds/wkn/A0M2JF
ARAMEA RENDITE PLUS	/fonds/wkn/A0NEKQ
ARAMEA STRATEGIE I	/fonds/wkn/A0NEKF
AriDeka CF	/fonds/wkn/847451
ARIQON Konservativ	/fonds/wkn/A0KFXB
ARIQON Konservativ	/fonds/wkn/A0YAZ3
AS-AktivPlus	/fonds/wkn/978697
ATHENA UI	/fonds/wkn/A0Q2SF
avant-garde Stock Fund	/fonds/wkn/A0LHC2
avant-garde Stock Fund	/fonds/wkn/A0B91R
avant-garde Stock Fund	/fonds/wkn/A0B91Q
Bantleon Family & Friends	/fonds/wkn/A1JBVE
Bantleon Opportunities L	/fonds/wkn/A0NB6T
Bantleon Opportunities L	/fonds/wkn/A0NB6R
Bantleon Opportunities L	/fonds/wkn/A0NB6S
Bantleon Opportunities S	/fonds/wkn/A0NB6N
Bantleon Opportunities S	/fonds/wkn/A0NB6M
BANTLEON OPPORTUNITIES S	/fonds/wkn/A0NB6Q
Bantleon Return	/fonds/wkn/A0RPXX
Bantleon Return	/fonds/wkn/A1C2HF
Bantleon Yield	/fonds/wkn/A0RKPL
Bantleon Yield	/fonds/wkn/A1C2HH
Baring ASEAN Frontiers Fund	/fonds/wkn/926373
Baring ASEAN Frontiers Fund	/fonds/wkn/972867
Baring Asia Growth Fund	/fonds/wkn/933585
Baring Asia Growth Fund	/fonds/wkn/972792
Baring Australia Fund	/fonds/wkn/933582
