label	url
db Advisory Multibrands SICAV	/fonds/fondgesellschaften/3385
db PBC SICAV	/fonds/fondgesellschaften/3380
DB Platinum	/fonds/fondgesellschaften/752
DB Platinum IV SICAV	/fonds/fondgesellschaften/3451
db PrivatMandat Comfort SICAV	/fonds/fondgesellschaften/3096
DB PWM	/fonds/fondgesellschaften/3251
DB SICAV	/fonds/fondgesellschaften/3450
db x-trackers	/fonds/fondgesellschaften/1591
db x-trackers	/fonds/fondgesellschaften/3322
db x-trackers II	/fonds/fondgesellschaften/822
Degroof Petercam Asset Management SA	/fonds/fondgesellschaften/3581
Deka Immobilien Investment	/fonds/fondgesellschaften/410
DEKA Immobilien Luxembourg S.A.	/fonds/fondgesellschaften/3171
Deka International	/fonds/fondgesellschaften/382
Deka Investment GmbH	/fonds/fondgesellschaften/864
DekaBank Deutsche Girozentrale Luxembourg S.A.	/fonds/fondgesellschaften/3148
Delta Lloyd Asset Management N.V.	/fonds/fondgesellschaften/523
Delta Lloyd L SICAV	/fonds/fondgesellschaften/3042
Deutsche Asset & Wealth Management Investment GmbH	/fonds/fondgesellschaften/3410
Deutsche Asset & Wealth Management Investment S.A.	/fonds/fondgesellschaften/3532
Deutsche Asset Management Investmentgesellschaft mbH	/fonds/fondgesellschaften/3361
Deutsche Global Liquidity Series p.l.c.	/fonds/fondgesellschaften/3547
Deutsche Invest I SICAV	/fonds/fondgesellschaften/3534
East Capital (Lux) SICAV	/fonds/fondgesellschaften/3312
Edmond de Rothschild SICAV	/fonds/fondgesellschaften/3522
Ennismore Fund Management	/fonds/fondgesellschaften/590
Equita SICAV	/fonds/fondgesellschaften/3334
Erste Sparinvest	/fonds/fondgesellschaften/571
ETF Securities Limited	/fonds/fondgesellschaften/1595
ETFS Management Company Limited	/fonds/fondgesellschaften/839
ETHENEA Independent Investors S.A., Luxemburg	/fonds/fondgesellschaften/3035
ETI Securities plc	/fonds/fondgesellschaften/3355
Eurocash-Fund SICAV	/fonds/fondgesellschaften/728
European and Global Investments Limited	/fonds/fondgesellschaften/3567
F&C Management Limited	/fonds/fondgesellschaften/474
F&C Portfolios Fund SICAV	/fonds/fondgesellschaften/3448
Falcon Fund Management (Luxembourg)	/fonds/fondgesellschaften/3161
Falcon Fund Management (Schweiz) AG	/fonds/fondgesellschaften/536
Falcon Fund Sicav	/fonds/fondgesellschaften/3160
Federated International Funds plc	/fonds/fondgesellschaften/3132
